"시도별","품목별","항목","단위","2024.06 월","2024.07 월","2024.08 월","2024.09 월","2024.10 월","2024.11 월","1975 년","1976 년","1977 년","1978 년","1979 년","1980 년","1981 년","1982 년","1983 년","1984 년","1985 년","1986 년","1987 년","1988 년","1989 년","1990 년","1991 년","1992 년","1993 년","1994 년","1995 년","1996 년","1997 년","1998 년","1999 년","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년",
"전국","건강검진비","소비자물가지수[2020=100]","2020=100","105.54","105.92","105.92","105.92","105.92","105.92","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.1","84.149","86.345","88.542","89.718","90.456","91.225","93.244","94.801","95.675","96.145","97.237","97.779","98.471","99.338","100","100.79","102.02","103.86",
"전국","치과보철료","소비자물가지수[2020=100]","2020=100","101.78","101.78","101.91","101.94","102.29","102.46","","","","","","","","","","","","","","","","","","","","","","","","","","74.676","84.589","84.471","87.507","90.127","91.527","93.64","97.11","100.451","103.99","105.53","107.122","108.688","106.147","103.68","103.92","103.337","102.859","101.254","99.152","100","100.72","101.46","101.74",
"전국","병원검사료","소비자물가지수[2020=100]","2020=100","61.22","61.27","61.32","61.34","61.29","61.36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103.33","106.412","109.245","111.476","114.084","116.667","118.505","119.403","120.622","122.882","125.345","128.8","132.709","122.159","110.662","100","84.91","61.35","59.64",
"전국","자동차수리비","소비자물가지수[2020=100]","2020=100","114.04","114.16","114.28","114.43","114.48","114.78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.855","85.151","85.917","88.472","90.149","90.914","92.756","93.618","93.582","94.023","94.282","94.826","95.516","97.24","98.972","100","102.05","105.97","111.44",
"전국","엔진오일교체료","소비자물가지수[2020=100]","2020=100","130.13","130.43","130.57","130.93","130.98","131.53","","","","","","","","","","","","","","","","50.819","50.819","50.898","51.568","49.81","49.881","49.602","49.253","55.279","50.284","48.671","48.521","48.586","48.955","53.111","55.382","57.856","59.374","68.434","75.172","76.654","81.483","83.826","85.06","86.887","88.184","88.547","90.034","94.653","97.771","100","105","114.88","124.64",
"전국","세차료","소비자물가지수[2020=100]","2020=100","129.93","130.18","130.44","130.75","131.03","131.6","","","","","","","","","","","","","","","","","","","","","35.481","37.241","38.222","39.905","39.033","39.103","39.905","41.893","45.452","47.013","47.69","49.173","50.592","53.541","55.465","58.295","61.759","65.786","69.489","73.22","77.284","81.279","85.195","90.613","96.33","100","104.87","113.49","122.18",
"전국","자동차학원비","소비자물가지수[2020=100]","2020=100","112.12","112.15","112.44","112.64","112.74","113.56","6.043","6.5","7.751","10.349","11.6","14.406","18.195","22.779","23.566","23.551","23.379","23.613","25.404","25.55","25.55","27.172","28.752","30.267","31.572","33.802","35.596","37.698","38.003","38.003","38.294","41.457","42.031","42.335","42.974","43.658","42.618","42.302","46.528","52.936","52.904","53.001","52.537","55.143","57.569","58.158","60.443","63.405","82.122","91.763","97.418","100","100.81","105.78","109.02",
"전국","주차료","소비자물가지수[2020=100]","2020=100","108.99","108.85","108.85","109.23","109.38","109.38","","","","","","","","","","","","","","","","19.661","29.701","39.849","40.172","41.085","58.64","62.157","78.613","83.494","84.368","85.03","85.752","86.389","86.495","86.135","87.218","88.083","88.338","88.156","88.455","88.839","90.942","91.298","94.327","95.558","95.979","98.168","99.857","100.12","101.515","100","100.51","105.43","106.54",
"전국","승용차임차료","소비자물가지수[2020=100]","2020=100","82.66","103.55","101.27","93.6","89.23","80.38","","","","","","","","","","","","","","","","","","","","","72.397","72.519","72.114","72.343","72.325","73.774","73.951","74.166","72.476","71.996","71.978","73.639","73.442","74.293","83.762","91.05","91.171","95.847","110.581","110.489","110.34","110.35","110.152","109.911","110.028","100","98.15","103.06","93.5",
"전국","대리운전이용료","소비자물가지수[2020=100]","2020=100","133.02","133.02","133.29","133.36","133.53","133.83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.052","83.996","85.67","88.367","86.973","86.651","87.034","87.698","87.856","87.152","88.103","91.024","92.92","95.206","97.936","100","106.08","119.44","129.48",
